,drugbank_id,category,uniprot_id,organism
68,DB00114,target,P54687,Humans
69,DB00114,target,O15382,Humans
70,DB00114,target,O94903,Humans
71,DB00114,target,P00505,Humans
72,DB00114,target,P11216,Humans
73,DB00114,target,P11217,Humans
74,DB00114,target,P20711,Humans
75,DB00114,target,Q2TU84,Humans
76,DB00114,target,Q53ET4,Humans
77,DB00114,target,Q59FK2,Humans
78,DB00114,target,Q59GM9,Humans
79,DB00114,target,Q5JAM2,Humans
80,DB00114,target,Q5VZ30,Humans
81,DB00114,target,Q6IBS8,Humans
82,DB00114,target,Q6YP21,Humans
83,DB00114,target,Q6ZQY3,Humans
84,DB00114,target,Q96I15,Humans
85,DB00114,target,Q6WRI0,Humans
86,DB00114,target,Q8IUZ5,Humans
87,DB00114,target,Q8IVA8,Humans
88,DB00114,target,P34897,Humans
89,DB00114,target,P22557,Humans
90,DB00114,target,Q8TD30,Humans
91,DB00114,target,Q96EN8,Humans
92,DB00114,target,Q96GA7,Humans
93,DB00114,target,Q9BXA1,Humans
94,DB00114,target,Q9GZT4,Humans
95,DB00114,target,Q9HD40,Humans
96,DB00114,target,Q9NUV7,Humans
97,DB00114,target,Q9UGI5,Humans
98,DB00114,target,Q9UJX1,Humans
99,DB00115,target,Q99707,Humans
100,DB00115,target,P22033,Humans
101,DB00115,target,Q9UBK8,Humans
102,DB00115,target,Q8IVH4,Humans
103,DB00115,target,Q9Y4U1,Humans
104,DB00115,target,P42898,Humans
105,DB00115,enzyme,Q96EY8,Humans
106,DB00115,enzyme,Q05599,Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720)
107,DB00115,transporter,Q9BXJ7,Humans
108,DB00115,transporter,P20061,Humans
109,DB00115,transporter,P20062,Humans
110,DB00115,transporter,P27352,Humans
111,DB00115,transporter,O60494,Humans
112,DB00115,transporter,P98164,Humans
113,DB00115,transporter,P33527,Humans
114,DB00118,target,Q14749,Humans
115,DB00118,target,P17707,Humans
116,DB00118,target,P31153,Humans
117,DB00118,target,P35520,Humans
118,DB00118,target,Q00266,Humans
119,DB00118,target,P21964,Humans
120,DB00118,target,Q8N1G2,Humans
121,DB00118,target,Q9HBK9,Humans
122,DB00118,enzyme,P05181,Humans
123,DB00118,enzyme,P19623,Humans
124,DB00119,target,O15427,Humans
125,DB00119,target,P36021,Humans
126,DB00119,target,Q9BYV1,Humans
127,DB00119,target,O15375,Humans
128,DB00119,target,P30613,Humans
129,DB00119,target,O15403,Humans
130,DB00119,target,O60669,Humans
131,DB00119,target,P11177,Humans
132,DB00119,target,P14618,Humans
133,DB00119,target,P80404,Humans
134,DB00119,target,O15374,Humans
135,DB00119,target,O95907,Humans
136,DB00119,target,P53985,Humans
137,DB00119,target,P11498,Humans
138,DB00119,transporter,O60669,Humans
139,DB00119,transporter,P53985,Humans
140,DB00119,transporter,Q8TF71,Humans
141,DB00119,transporter,Q92959,Humans
142,DB00119,transporter,O15427,Humans
143,DB00120,target,P17735,Humans
144,DB00120,target,Q9UHI5,Humans
145,DB00120,target,Q9Y285,Humans
146,DB00120,target,P00439,Humans
147,DB00120,target,O95363,Humans
148,DB00120,target,Q9NSD9,Humans
149,DB00120,target,P07101,Humans
150,DB00120,transporter,Q8TF71,Humans
151,DB00121,target,P05166,Humans
152,DB00121,target,P50747,Humans
153,DB00121,target,Q9HCC0,Humans
154,DB00121,target,O00763,Humans
155,DB00121,target,Q96RQ3,Humans
156,DB00121,target,P11498,Humans
157,DB00121,target,P05165,Humans
158,DB00121,target,Q13085,Humans
159,DB00121,enzyme,Q16678,Humans
160,DB00121,transporter,Q9Y289,Humans
161,DB00121,transporter,Q8N695,Humans
162,DB00122,target,Q9Y5K3,Humans
163,DB00122,target,P22303,Humans
164,DB00122,target,P49585,Humans
165,DB00122,target,O14939,Humans
166,DB00122,target,P06276,Humans
167,DB00122,target,Q13393,Humans
168,DB00122,target,Q8TCT1,Humans
169,DB00122,target,P36544,Humans
170,DB00122,enzyme,Q9Y6K0,Humans
171,DB00122,enzyme,Q9Y259,Humans
172,DB00122,enzyme,P28329,Humans
173,DB00122,enzyme,P35790,Humans
174,DB00122,enzyme,Q8NE62,Humans
175,DB00122,transporter,O15244,Humans
176,DB00122,transporter,O15245,Humans
177,DB00122,transporter,O75751,Humans
178,DB00122,transporter,O76082,Humans
179,DB00122,transporter,Q9H015,Humans
180,DB00122,transporter,Q8WWI5,Humans
181,DB00122,transporter,Q53GD3,Humans
182,DB00122,transporter,Q8IWA5,Humans
183,DB00122,transporter,Q8N4M1,Humans
184,DB00122,transporter,Q9GZV3,Humans
185,DB00123,target,P30825,Humans
186,DB00123,target,O43246,Humans
187,DB00123,target,Q8WY07,Humans
188,DB00123,target,P52569,Humans
189,DB00123,target,Q15046,Humans
190,DB00123,transporter,Q8TF71,Humans
191,DB00123,transporter,Q9H015,Humans
192,DB00126,target,Q54873,Streptococcus pneumoniae serotype 4 (strain ATCC BAA-334 / TIGR4)
193,DB00126,target,P24300,Streptomyces rubiginosus
194,DB00126,target,O00469,Humans
195,DB00126,target,O14832,Humans
196,DB00126,target,O60568,Humans
197,DB00126,target,O75936,Humans
198,DB00126,target,P09172,Humans
199,DB00126,target,P19021,Humans
200,DB00126,target,Q32P28,Humans
201,DB00126,target,Q8IVL5,Humans
202,DB00126,target,Q8IVL6,Humans
203,DB00126,target,P13674,Humans
204,DB00126,target,Q8N543,Humans
205,DB00126,target,Q6N063,Humans
206,DB00126,target,Q6NS38,Humans
207,DB00126,target,Q96Q83,Humans
208,DB00126,target,Q9BY66,Humans
209,DB00126,target,Q02809,Humans
210,DB00126,target,Q9NVH6,Humans
211,DB00126,target,Q9NXG6,Humans
212,DB00126,target,Q9GZT9,Humans
213,DB00126,target,Q96KS0,Humans
214,DB00126,target,Q9H6Z9,Humans
215,DB00126,enzyme,Q16881,Humans
216,DB00126,carrier,P02768,Humans
217,DB00126,transporter,Q9UHI7,Humans
218,DB00126,transporter,Q9UGH3,Humans
219,DB00126,transporter,P11166,Humans
220,DB00126,transporter,P11169,Humans
221,DB00126,transporter,P14672,Humans
222,DB00128,target,P07998,Humans
223,DB00128,target,P61626,Humans
224,DB00128,target,Q9UJS0,Humans
225,DB00128,target,P17174,Humans
226,DB00128,target,P45381,Humans
227,DB00128,target,P08243,Humans
228,DB00128,target,P00966,Humans
229,DB00128,target,Q03154,Humans
230,DB00128,target,P00505,Humans
231,DB00128,target,P14868,Humans
232,DB00128,target,O75746,Humans
233,DB00128,target,Q12797,Humans
234,DB00128,target,P22234,Humans
235,DB00128,target,P30520,Humans
236,DB00128,target,P43005,Humans
237,DB00128,target,Q5T6L4,Humans
238,DB00128,target,Q6PI48,Humans
239,DB00128,target,Q7L266,Humans
240,DB00128,enzyme,P27708,Humans
241,DB00128,transporter,Q8TF71,Humans
242,DB00129,target,P04181,Humans
243,DB00129,target,P00480,Humans
244,DB00129,target,P05089,Humans
245,DB00129,target,P54368,Humans
246,DB00129,target,P30825,Humans
247,DB00129,target,P52569,Humans
248,DB00129,target,Q9BXI2,Humans
249,DB00129,target,P78540,Humans
250,DB00129,target,Q9Y619,Humans
251,DB00129,target,P50440,Humans
252,DB00130,target,P17812,Humans
253,DB00130,target,Q06203,Humans
254,DB00130,target,P15104,Humans
255,DB00130,enzyme,P00488,Humans
256,DB00130,enzyme,O94925,Humans
257,DB00130,enzyme,Q9UI32,Humans
258,DB00130,enzyme,P21980,Humans
259,DB00130,enzyme,O43548,Humans
260,DB00130,enzyme,O95932,Humans
261,DB00130,enzyme,P22735,Humans
262,DB00130,enzyme,P49221,Humans
263,DB00130,enzyme,Q08188,Humans
264,DB00130,enzyme,Q96PF1,Humans
265,DB00130,enzyme,P49915,Humans
266,DB00130,enzyme,P08243,Humans
267,DB00130,enzyme,Q16773,Humans
268,DB00130,enzyme,O15067,Humans
269,DB00130,enzyme,O75879,Humans
270,DB00130,enzyme,O94808,Humans
271,DB00130,enzyme,P27708,Humans
272,DB00130,enzyme,P47897,Humans
273,DB00130,enzyme,Q6IA69,Humans
274,DB00130,transporter,Q9H2H9,Humans
275,DB00130,transporter,Q96QD8,Humans
276,DB00130,transporter,Q99624,Humans
277,DB00130,transporter,Q15758,Humans
278,DB00130,transporter,Q9UN76,Humans
279,DB00130,transporter,Q9UM01,Humans
280,DB00130,transporter,Q92536,Humans
281,DB00130,transporter,Q01650,Humans
282,DB00130,transporter,Q9UHI5,Humans
283,DB00130,transporter,P82251,Humans
284,DB00130,transporter,Q8TF71,Humans
285,DB00131,target,P16220,Humans
286,DB00131,target,Q07343,Humans
287,DB00131,target,Q9Y478,Humans
288,DB00131,target,P49773,Humans
289,DB00131,target,Q08499,Humans
290,DB00131,target,Q9NR19,Humans
291,DB00131,target,Q13131,Humans
292,DB00131,target,Q08828,Humans
293,DB00131,target,P33121,Humans
294,DB00131,target,P09467,Humans
295,DB00131,target,P55263,Humans
296,DB00131,enzyme,P23109,Humans
297,DB00131,enzyme,P07741,Humans
298,DB00132,target,O60427,Humans
299,DB00132,target,O95864,Humans
300,DB00132,target,P32418,Humans
301,DB00132,target,Q8NER1,Humans
302,DB00132,target,Q07869,Humans
303,DB00132,target,Q96RI1,Humans
304,DB00132,target,Q03181,Humans
305,DB00132,target,P37231,Humans
306,DB00132,target,P19793,Humans
307,DB00132,target,Q9NXB9,Humans
308,DB00132,target,Q9NYP7,Humans
309,DB00132,carrier,O15540,Humans
310,DB00134,target,Q9UBK8,Humans
311,DB00134,target,Q99707,Humans
312,DB00134,target,P50579,Humans
313,DB00134,target,Q93088,Humans
314,DB00134,target,Q9H2M3,Humans
315,DB00134,enzyme,P15104,Humans
316,DB00134,enzyme,P42898,Humans
317,DB00134,enzyme,P31153,Humans
318,DB00134,enzyme,Q9Y3D2,Humans
319,DB00134,enzyme,Q00266,Humans
320,DB00134,enzyme,Q9NZV6,Humans
321,DB00134,enzyme,Q9UJ68,Humans
322,DB00134,enzyme,P56192,Humans
323,DB00134,enzyme,Q96GW9,Humans
324,DB00134,enzyme,Q9NZL9,Humans
325,DB00134,enzyme,Q9H2M3,Humans
326,DB00134,transporter,Q8TF71,Humans
327,DB00135,target,P07101,Humans
328,DB00135,target,Q9Y2Z4,Humans
329,DB00135,target,P54577,Humans
330,DB00135,target,P17735,Humans
331,DB00135,transporter,P36021,Humans
332,DB00135,transporter,Q8TF71,Humans
333,DB00136,target,P11473,Humans
334,DB00136,target,P31260,Humans
335,DB00136,enzyme,Q07973,Humans
336,DB00136,enzyme,P08684,Humans
337,DB00136,carrier,P02774,Humans
338,DB00137,carrier,P02768,Humans
339,DB00138,target,Q9UPY5,Humans
340,DB00138,target,O60931,Humans
341,DB00138,transporter,Q8TF71,Humans
342,DB00138,transporter,P82251,Humans
343,DB00138,transporter,Q07837,Humans
344,DB00139,target,Q9BXA5,Humans
345,DB00139,target,P51649,Humans
346,DB00139,enzyme,Q99643,Humans
347,DB00139,enzyme,P31040,Humans
348,DB00139,enzyme,Q96I99,Humans
349,DB00139,enzyme,O60568,Humans
350,DB00139,enzyme,Q32P28,Humans
351,DB00139,enzyme,Q8IVL5,Humans
352,DB00139,enzyme,Q8IVL6,Humans
353,DB00139,enzyme,P55809,Humans
354,DB00139,enzyme,Q12797,Humans
355,DB00139,transporter,Q8TCC7,Humans
356,DB00139,transporter,Q9UBX3,Humans
357,DB00139,transporter,Q9BZW2,Humans
358,DB00139,transporter,Q13183,Humans
359,DB00139,transporter,Q8WWT9,Humans
360,DB00140,target,Q969G6,Humans
361,DB00140,target,P0AFU8,Escherichia coli (strain K12)
362,DB00140,target,P30043,Humans
363,DB00140,enzyme,P21397,Humans
364,DB00140,enzyme,P42898,Humans
365,DB00140,transporter,Q4U2R8,Humans
366,DB00141,target,P15291,Humans
367,DB00141,target,O60513,Humans
368,DB00141,target,Q9UJ70,Humans
369,DB00141,target,Q9UK23,Humans
370,DB00141,target,P54802,Humans
371,DB00141,target,P51606,Humans
372,DB00142,target,Q13255,Humans
373,DB00142,target,Q14833,Humans
374,DB00142,target,Q16099,Humans
375,DB00142,target,Q16478,Humans
376,DB00142,target,Q14831,Humans
377,DB00142,target,O00222,Humans
378,DB00142,target,O00341,Humans
379,DB00142,target,O14841,Humans
380,DB00142,target,O15067,Humans
381,DB00142,target,O15382,Humans
382,DB00142,target,O15399,Humans
383,DB00142,target,O94925,Humans
384,DB00142,target,P00505,Humans
385,DB00142,target,P07814,Humans
386,DB00142,target,P08243,Humans
387,DB00142,target,P15104,Humans
388,DB00142,target,P17174,Humans
389,DB00142,target,P17735,Humans
390,DB00142,target,P24298,Humans
391,DB00142,target,P38435,Humans
392,DB00142,target,P43003,Humans
393,DB00142,target,P43004,Humans
394,DB00142,target,P43005,Humans
395,DB00142,target,P48506,Humans
396,DB00142,target,P48664,Humans
397,DB00142,target,P49448,Humans
398,DB00142,target,P49915,Humans
399,DB00142,target,P54687,Humans
400,DB00142,target,P80404,Humans
401,DB00142,target,Q05586,Humans
402,DB00142,target,Q05932,Humans
403,DB00142,target,Q07075,Humans
404,DB00142,target,Q12879,Humans
405,DB00142,target,Q13224,Humans
406,DB00142,target,Q14957,Humans
407,DB00142,target,Q2TU84,Humans
408,DB00142,target,Q5JPH6,Humans
409,DB00142,target,Q6IA69,Humans
410,DB00142,target,Q8N159,Humans
411,DB00142,target,Q8N5Z0,Humans
412,DB00142,target,Q8TCU5,Humans
413,DB00142,target,Q8TD30,Humans
414,DB00142,target,Q9UDR5,Humans
415,DB00142,target,Q9UI32,Humans
416,DB00142,target,Q9ULA0,Humans
417,DB00142,target,Q9UPY5,Humans
418,DB00142,target,Q9Y646,Humans
419,DB00142,target,Q9Y617,Humans
420,DB00142,target,P00367,Humans
421,DB00142,target,P39086,Humans
422,DB00142,target,P42261,Humans
423,DB00142,target,P48507,Humans
424,DB00142,target,Q04609,Humans
425,DB00142,target,Q05329,Humans
426,DB00142,target,Q99259,Humans
427,DB00142,target,O95954,Humans
428,DB00142,target,P42262,Humans
429,DB00142,target,P42263,Humans
430,DB00142,target,P48058,Humans
431,DB00142,target,P54886,Humans
432,DB00142,target,Q13002,Humans
433,DB00142,target,Q13003,Humans
434,DB00142,transporter,Q8TF71,Humans
435,DB00142,transporter,P53985,Humans
436,DB00142,transporter,Q9H1K4,Humans
437,DB00142,transporter,Q9H936,Humans
438,DB00143,target,O14880,Humans
439,DB00143,target,O60760,Humans
440,DB00143,target,P08263,Humans
441,DB00143,target,P09210,Humans
442,DB00143,target,P10620,Humans
443,DB00143,target,P10768,Humans
444,DB00143,target,P19440,Humans
445,DB00143,target,P28161,Humans
446,DB00143,target,P35754,Humans
447,DB00143,target,P36969,Humans
448,DB00143,target,P46439,Humans
449,DB00143,target,P59796,Humans
450,DB00143,target,Q16775,Humans
451,DB00143,target,Q6NSD4,Humans
452,DB00143,target,Q96SL4,Humans
453,DB00143,target,Q99735,Humans
454,DB00143,target,Q9H4Y5,Humans
455,DB00143,target,Q9NS18,Humans
456,DB00143,target,Q04760,Humans
457,DB00143,target,Q16873,Humans
458,DB00143,target,P00390,Humans
459,DB00143,target,P48637,Humans
460,DB00143,target,P09488,Humans
461,DB00143,target,Q9Y2Q3,Humans
462,DB00143,target,Q16772,Humans
463,DB00143,target,P21266,Humans
464,DB00143,target,O15217,Humans
465,DB00143,target,Q03013,Humans
466,DB00143,target,Q7RTV2,Humans
467,DB00143,target,P09211,Humans
468,DB00143,target,P78417,Humans
469,DB00143,target,P07203,Humans
470,DB00143,target,P18283,Humans
471,DB00143,target,P30711,Humans
472,DB00143,target,O43708,Humans
473,DB00143,target,O75715,Humans
474,DB00143,target,P22352,Humans
475,DB00143,target,P15121,Humans
476,DB00143,target,P14780,Humans
477,DB00143,target,P08684,Humans
478,DB00143,enzyme,P09210,Humans
479,DB00143,enzyme,P08263,Humans
480,DB00143,transporter,P33527,Humans
481,DB00143,transporter,Q92887,Humans
482,DB00143,transporter,O15438,Humans
483,DB00143,transporter,O15439,Humans
484,DB00143,transporter,O15440,Humans
485,DB00144,target,P49619,Humans
486,DB00144,target,Q16760,Humans
487,DB00144,target,Q9BVG9,Humans
488,DB00144,target,Q9NXE4,Humans
489,DB00144,target,Q9NY59,Humans
490,DB00144,target,Q9Y2Q0,Humans
491,DB00144,target,P17252,Humans
492,DB00144,target,P48651,Humans
493,DB00144,target,Q9UG56,Humans
494,DB00144,target,Q8WTV0,Humans
495,DB00145,target,O75600,Humans
496,DB00145,target,P13196,Humans
497,DB00145,target,P22557,Humans
498,DB00145,target,P41250,Humans
499,DB00145,target,Q12879,Humans
500,DB00145,target,Q14032,Humans
501,DB00145,target,Q14330,Humans
502,DB00145,target,P48637,Humans
503,DB00145,target,Q14957,Humans
504,DB00145,target,Q53ET4,Humans
505,DB00145,target,Q6IB77,Humans
506,DB00145,target,P34897,Humans
507,DB00145,target,Q8WU03,Humans
508,DB00145,target,Q969I3,Humans
509,DB00145,target,Q9BYV1,Humans
510,DB00145,target,Q9P0Z9,Humans
511,DB00145,target,O60391,Humans
512,DB00145,target,P23415,Humans
513,DB00145,target,P21549,Humans
514,DB00145,target,P48167,Humans
515,DB00145,target,P34896,Humans
516,DB00145,target,O75311,Humans
517,DB00145,target,P23416,Humans
518,DB00145,target,Q14749,Humans
519,DB00145,target,P50440,Humans
520,DB00145,enzyme,P48728,Humans
521,DB00145,enzyme,P23378,Humans
522,DB00145,enzyme,P09622,Humans
523,DB00145,enzyme,P23434,Humans
524,DB00145,transporter,Q8TF71,Humans
525,DB00145,transporter,Q7Z2H8,Humans
526,DB00145,transporter,Q9H598,Humans
527,DB00145,transporter,Q9Y345,Humans
528,DB00145,transporter,P48067,Humans
529,DB00146,target,P11473,Humans
530,DB00146,enzyme,O15528,Humans
531,DB00146,enzyme,Q07973,Humans
532,DB00148,target,P06732,Humans
533,DB00148,target,P12532,Humans
534,DB00148,target,P12277,Humans
535,DB00148,target,P17540,Humans
536,DB00148,target,P48029,Humans
537,DB00148,target,Q14353,Humans
538,DB00148,transporter,O76082,Humans
539,DB00150,target,Q9UGM6,Humans
540,DB00150,target,P00953,Geobacillus stearothermophilus
541,DB00150,target,P23381,Humans
542,DB00150,enzyme,P48775,Humans
543,DB00150,enzyme,P20711,Humans
544,DB00150,enzyme,P00953,Geobacillus stearothermophilus
545,DB00150,enzyme,Q9UGM6,Humans
546,DB00150,enzyme,P17752,Humans
547,DB00150,enzyme,Q8IWU9,Humans
548,DB00150,enzyme,P23381,Humans
549,DB00150,enzyme,P14902,Humans
550,DB00150,transporter,P36021,Humans
551,DB00150,transporter,Q8TF71,Humans
552,DB00151,target,P48507,Humans
553,DB00151,target,P48506,Humans
554,DB00151,target,P17174,Humans
555,DB00151,target,P00505,Humans
556,DB00151,target,P32929,Humans
557,DB00151,target,P35520,Humans
558,DB00151,target,P49589,Humans
559,DB00151,target,P16455,Humans
560,DB00151,target,P48637,Humans
561,DB00151,target,Q9HA77,Humans
562,DB00151,target,Q9Y600,Humans
563,DB00151,target,Q9Y697,Humans
564,DB00151,target,Q16878,Humans
565,DB00151,transporter,Q8TF71,Humans
566,DB00152,target,Q9H3S4,Humans
567,DB00152,enzyme,P13584,Humans
568,DB00152,enzyme,Q9H3S4,Humans
569,DB00152,enzyme,O75356,Humans
570,DB00152,enzyme,Q9BU02,Humans
571,DB00152,carrier,P02768,Humans
572,DB00152,transporter,O15244,Humans
573,DB00152,transporter,O15245,Humans
574,DB00152,transporter,O76082,Humans
575,DB00152,transporter,O60779,Humans
576,DB00152,transporter,Q9BZV2,Humans
577,DB00153,target,P11473,Humans
578,DB00153,enzyme,Q07973,Humans
579,DB00153,enzyme,O15528,Humans
580,DB00153,enzyme,Q02318,Humans
581,DB00153,enzyme,Q6VVX0,Humans
582,DB00153,enzyme,Q96AT9,Humans
583,DB00153,enzyme,P05108,Humans
584,DB00153,carrier,P02774,Humans
585,DB00155,target,P00966,Humans
586,DB00155,target,O95865,Humans
587,DB00155,target,Q5T6L4,Humans
588,DB00155,target,O94760,Humans
589,DB00155,target,P00480,Humans
590,DB00155,target,P29475,Humans
591,DB00155,target,P35228,Humans
592,DB00155,target,P29474,Humans
593,DB00155,target,Q6TGC4,Humans
594,DB00155,target,Q9ULC6,Humans
595,DB00155,target,Q9ULW8,Humans
596,DB00155,target,Q9Y2J8,Humans
597,DB00155,target,Q9UM07,Humans
598,DB00155,transporter,Q4U2R8,Humans
599,DB00156,target,P26639,Humans
600,DB00156,target,Q9BW92,Humans
601,DB00156,transporter,Q8TF71,Humans
602,DB00157,target,O60701,Humans
603,DB00157,target,P07327,Humans
604,DB00157,target,Q00796,Humans
605,DB00157,target,P08319,Humans
606,DB00157,target,P00326,Humans
607,DB00157,target,P00325,Humans
608,DB00157,target,P40394,Humans
609,DB00157,target,P21695,Humans
610,DB00157,target,Q6ZMR3,Humans
611,DB00157,target,P11766,Humans
612,DB00157,target,P15121,Humans
613,DB00157,target,Q99714,Humans
614,DB00157,target,P40926,Humans
615,DB00157,target,P00338,Humans
616,DB00157,target,P23368,Humans
617,DB00157,target,P51659,Humans
618,DB00157,target,Q9BYZ2,Humans
619,DB00157,target,P07864,Humans
620,DB00157,target,P07195,Humans
621,DB00157,target,Q08426,Humans
622,DB00157,target,Q16836,Humans
623,DB00157,target,Q16798,Humans
624,DB00157,target,Q02338,Humans
625,DB00157,target,P40925,Humans
626,DB00157,target,P31937,Humans
627,DB00157,target,P37058,Humans
628,DB00157,target,P04035,Humans
629,DB00157,target,P48163,Humans
630,DB00157,target,O43175,Humans
631,DB00157,target,P56937,Humans
632,DB00157,target,P51553,Humans
633,DB00157,target,O43837,Humans
634,DB00157,target,P50213,Humans
635,DB00157,target,P14061,Humans
636,DB00157,target,P37059,Humans
637,DB00157,target,Q92781,Humans
638,DB00157,target,O95479,Humans
639,DB00157,target,Q92506,Humans
640,DB00157,target,P17516,Humans
641,DB00157,target,P12268,Humans
642,DB00157,target,P42330,Humans
643,DB00157,target,P15428,Humans
644,DB00157,target,Q13630,Humans
645,DB00157,target,Q04828,Humans
646,DB00157,target,P28845,Humans
647,DB00157,target,P26439,Humans
648,DB00157,target,P14060,Humans
649,DB00157,target,P20839,Humans
650,DB00157,target,P40939,Humans
651,DB00157,target,P05091,Humans
652,DB00157,target,P80365,Humans
653,DB00157,target,P52895,Humans
654,DB00157,target,Q15738,Humans
655,DB00157,target,P48448,Humans
656,DB00157,target,Q02252,Humans
657,DB00157,target,P30838,Humans
658,DB00157,target,P00352,Humans
659,DB00157,target,O14556,Humans
660,DB00157,target,P49189,Humans
661,DB00157,target,P47895,Humans
662,DB00157,target,P30837,Humans
663,DB00157,target,P43353,Humans
664,DB00157,target,P04406,Humans
665,DB00157,target,O94788,Humans
666,DB00157,target,P51648,Humans
667,DB00157,target,P51649,Humans
668,DB00157,target,P49419,Humans
669,DB00157,target,P30043,Humans
670,DB00157,target,Q96C36,Humans
671,DB00157,target,P32322,Humans
672,DB00157,target,P00367,Humans
673,DB00157,target,P11177,Humans
674,DB00157,target,P29803,Humans
675,DB00157,target,P08559,Humans
676,DB00157,target,P53004,Humans
677,DB00157,target,P16219,Humans
678,DB00157,target,P00374,Humans
679,DB00157,target,Q02218,Humans
680,DB00157,target,P49448,Humans
681,DB00157,target,Q9UBM7,Humans
682,DB00157,target,P16083,Humans
683,DB00157,target,P03891,Humans
684,DB00157,target,Q9UDR5,Humans
685,DB00157,target,P03897,Humans
686,DB00157,target,O75251,Humans
687,DB00157,target,P11586,Humans
688,DB00157,target,P13995,Humans
689,DB00157,target,P30038,Humans
690,DB00157,target,P00387,Humans
691,DB00157,target,Q86Y39,Humans
692,DB00157,target,P03905,Humans
693,DB00157,target,P09417,Humans
694,DB00157,target,P03886,Humans
695,DB00157,target,Q13423,Humans
696,DB00157,target,Q16718,Humans
697,DB00157,target,Q16795,Humans
698,DB00157,target,P03901,Humans
699,DB00157,target,O95299,Humans
700,DB00157,target,O95182,Humans
701,DB00157,target,O15239,Humans
702,DB00157,target,P03923,Humans
703,DB00157,target,P03915,Humans
704,DB00157,target,O00483,Humans
705,DB00157,target,P56556,Humans
706,DB00157,target,O14561,Humans
707,DB00157,target,O43678,Humans
708,DB00157,target,P51970,Humans
709,DB00157,target,O95167,Humans
710,DB00157,target,O95169,Humans
711,DB00157,target,O95298,Humans
712,DB00157,target,O75438,Humans
713,DB00157,target,P28331,Humans
714,DB00157,target,O96000,Humans
715,DB00157,target,O95168,Humans
716,DB00157,target,O43676,Humans
717,DB00157,target,O95178,Humans
718,DB00157,target,P17568,Humans
719,DB00157,target,Q9Y6M9,Humans
720,DB00157,target,O75306,Humans
721,DB00157,target,O43674,Humans
722,DB00157,target,O43677,Humans
723,DB00157,target,O95139,Humans
724,DB00157,target,P56181,Humans
725,DB00157,target,P09622,Humans
726,DB00157,target,O75489,Humans
727,DB00157,target,P00390,Humans
728,DB00157,target,Q9UI09,Humans
729,DB00157,target,O43920,Humans
730,DB00157,target,O43181,Humans
731,DB00157,target,P49821,Humans
732,DB00157,target,P19404,Humans
733,DB00157,target,Q9P0J0,Humans
734,DB00157,target,Q16878,Humans
735,DB00157,target,O75380,Humans
736,DB00157,target,Q9NRX3,Humans
737,DB00157,target,O00217,Humans
